dataset,eval_metric,problem_type
kropt,log_loss,multiclass
Titanic,roc_auc,binary
microaggregation2,log_loss,multiclass
guillermo,roc_auc,binary
kc1,roc_auc,binary
2dplanes,roc_auc,binary
OVA_Endometrium,roc_auc,binary
hill-valley,roc_auc,binary
pm10,roc_auc,binary
MagicTelescope,roc_auc,binary
one-hundred-plants-margin,log_loss,multiclass
Bioresponse,roc_auc,binary
okcupid-stem,log_loss,multiclass
cpu_act,roc_auc,binary
KDDCup09-Upselling,roc_auc,binary
segment,log_loss,multiclass
Fashion-MNIST,log_loss,multiclass
meta,roc_auc,binary
nomao,roc_auc,binary
eucalyptus,log_loss,multiclass
texture,log_loss,multiclass
cpu_small,roc_auc,binary
Brazilian_houses,root_mean_squared_error,regression
bank-marketing,roc_auc,binary
fried,roc_auc,binary
diabetes,roc_auc,binary
cylinder-bands,roc_auc,binary
wind,roc_auc,binary
fri_c3_1000_25,roc_auc,binary
space_ga,root_mean_squared_error,regression
fri_c0_1000_5,roc_auc,binary
kick,roc_auc,binary
Indian_pines,log_loss,multiclass
ada,roc_auc,binary
house_sales,root_mean_squared_error,regression
eye_movements,log_loss,multiclass
porto-seguro,roc_auc,binary
arcene,roc_auc,binary
bank32nh,roc_auc,binary
robert,log_loss,multiclass
synthetic_control,log_loss,multiclass
OnlineNewsPopularity,root_mean_squared_error,regression
delta_elevators,roc_auc,binary
climate-model-simulation-crashes,roc_auc,binary
albert,roc_auc,binary
steel-plates-fault,log_loss,multiclass
pol,root_mean_squared_error,regression
sensory,root_mean_squared_error,regression
kr-vs-k,log_loss,multiclass
eeg-eye-state,roc_auc,binary
fri_c1_1000_50,roc_auc,binary
quake,root_mean_squared_error,regression
anneal,log_loss,multiclass
jasmine,roc_auc,binary
volkert,log_loss,multiclass
pc2,roc_auc,binary
volcanoes-b1,log_loss,multiclass
Allstate_Claims_Severity,root_mean_squared_error,regression
collins,log_loss,multiclass
qsar-biodeg,roc_auc,binary
airlines,roc_auc,binary
bank8FM,roc_auc,binary
spambase,roc_auc,binary
GAMETES_Heterogeneity_20atts_1600_Het_0_4_0_2_75_EDM-2_001,roc_auc,binary
Mercedes_Benz_Greener_Manufacturing,root_mean_squared_error,regression
diamonds,root_mean_squared_error,regression
Click_prediction_small,roc_auc,binary
volcanoes-b6,log_loss,multiclass
dilbert,log_loss,multiclass
puma8NH,roc_auc,binary
blood-transfusion-service-center,roc_auc,binary
fabert,log_loss,multiclass
OVA_Prostate,roc_auc,binary
ldpa,log_loss,multiclass
socmob,root_mean_squared_error,regression
autoUniv-au1-1000,roc_auc,binary
kin8nm,roc_auc,binary
phoneme,roc_auc,binary
ailerons,roc_auc,binary
riccardo,roc_auc,binary
wine-quality-red,log_loss,multiclass
letter,log_loss,multiclass
abalone,root_mean_squared_error,regression
madelon,roc_auc,binary
MiceProtein,log_loss,multiclass
no2,roc_auc,binary
pc4,roc_auc,binary
