tid,ttid,did,name,task_type,status,estimation_procedure,evaluation_measures,source_data,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,number_samples,cost_matrix,source_data_labeled,target_feature_event,target_feature_left,target_feature_right,quality_measure,target_value
363612,TaskType.SUPERVISED_REGRESSION,46904,airfoil_self_noise,Supervised Regression,active,10 times 3-fold Crossvalidation,,46904,scaled-sound-pressure,,,,0.0,6.0,1503.0,0.0,0.0,5.0,1.0,,,,,,,,
363613,TaskType.SUPERVISED_CLASSIFICATION,46905,Amazon_employee_access,Supervised Classification,active,10 times 3-fold Crossvalidation,,46905,ResourceApproved,30872.0,,1897.0,2.0,10.0,32769.0,0.0,0.0,0.0,10.0,,,,,,,,
363614,TaskType.SUPERVISED_CLASSIFICATION,46906,anneal,Supervised Classification,active,10 times 3-fold Crossvalidation,,46906,classes,684.0,,8.0,5.0,39.0,898.0,0.0,0.0,6.0,33.0,,,,,,,,
363615,TaskType.SUPERVISED_REGRESSION,46907,Another-Dataset-on-used-Fiat-500,Supervised Regression,active,10 times 3-fold Crossvalidation,,46907,price,,,,0.0,8.0,1538.0,0.0,0.0,7.0,1.0,,,,,,,,
363616,TaskType.SUPERVISED_CLASSIFICATION,46908,APSFailure,Supervised Classification,active,10 times 3-fold Crossvalidation,,46908,AirPressureSystemFailure,74625.0,,1375.0,2.0,171.0,76000.0,75244.0,1078695.0,170.0,1.0,,,,,,,,
363618,TaskType.SUPERVISED_CLASSIFICATION,46910,bank-marketing,Supervised Classification,active,10 times 3-fold Crossvalidation,,46910,SubscribeTermDeposit,39922.0,,5289.0,2.0,14.0,45211.0,0.0,0.0,5.0,8.0,,,,,,,,
363619,TaskType.SUPERVISED_CLASSIFICATION,46911,Bank_Customer_Churn,Supervised Classification,active,10 times 3-fold Crossvalidation,,46911,churn,7963.0,,2037.0,2.0,11.0,10000.0,0.0,0.0,6.0,5.0,,,,,,,,
363620,TaskType.SUPERVISED_CLASSIFICATION,46912,Bioresponse,Supervised Classification,active,10 times 3-fold Crossvalidation,,46912,MoleculeElicitsResponse,2034.0,,1717.0,2.0,1777.0,3751.0,0.0,0.0,1776.0,1.0,,,,,,,,
363621,TaskType.SUPERVISED_CLASSIFICATION,46913,blood-transfusion-service-center,Supervised Classification,active,10 times 3-fold Crossvalidation,,46913,DonatedBloodInMarch2007,570.0,,178.0,2.0,5.0,748.0,0.0,0.0,4.0,1.0,,,,,,,,
363623,TaskType.SUPERVISED_CLASSIFICATION,46915,churn,Supervised Classification,active,10 times 3-fold Crossvalidation,,46915,CustomerChurned,4293.0,,707.0,2.0,20.0,5000.0,0.0,0.0,15.0,5.0,,,,,,,,
363624,TaskType.SUPERVISED_CLASSIFICATION,46916,coil2000_insurance_policies,Supervised Classification,active,10 times 3-fold Crossvalidation,,46916,MobileHomePolicy,9236.0,,586.0,2.0,86.0,9822.0,0.0,0.0,80.0,4.0,,,,,,,,
363625,TaskType.SUPERVISED_REGRESSION,46917,concrete_compressive_strength,Supervised Regression,active,10 times 3-fold Crossvalidation,,46917,ConcreteCompressiveStrength,,,,0.0,9.0,1030.0,0.0,0.0,9.0,0.0,,,,,,,,
363626,TaskType.SUPERVISED_CLASSIFICATION,46918,credit-g,Supervised Classification,active,10 times 3-fold Crossvalidation,,46918,good_or_bad_customer,700.0,,300.0,2.0,21.0,1000.0,0.0,0.0,7.0,14.0,,,,,,,,
363627,TaskType.SUPERVISED_CLASSIFICATION,46919,credit_card_clients_default,Supervised Classification,active,10 times 3-fold Crossvalidation,,46919,DefaultOnPaymentNextMonth,23364.0,,6636.0,2.0,24.0,30000.0,0.0,0.0,20.0,4.0,,,,,,,,
363628,TaskType.SUPERVISED_CLASSIFICATION,46920,customer_satisfaction_in_airline,Supervised Classification,active,10 times 3-fold Crossvalidation,,46920,satisfaction,71087.0,,58793.0,2.0,22.0,129880.0,393.0,393.0,5.0,17.0,,,,,,,,
363629,TaskType.SUPERVISED_CLASSIFICATION,46921,diabetes,Supervised Classification,active,10 times 3-fold Crossvalidation,,46921,TestedPositiveForDiabetes,500.0,,268.0,2.0,9.0,768.0,0.0,0.0,8.0,1.0,,,,,,,,
363630,TaskType.SUPERVISED_CLASSIFICATION,46922,Diabetes130US,Supervised Classification,active,10 times 3-fold Crossvalidation,,46922,EarlyReadmission,65225.0,,6293.0,2.0,48.0,71518.0,70601.0,137663.0,8.0,40.0,,,,,,,,
363631,TaskType.SUPERVISED_REGRESSION,46923,diamonds,Supervised Regression,active,10 times 3-fold Crossvalidation,,46923,price,,,,0.0,10.0,53940.0,0.0,0.0,7.0,3.0,,,,,,,,
363632,TaskType.SUPERVISED_CLASSIFICATION,46924,E-CommereShippingData,Supervised Classification,active,10 times 3-fold Crossvalidation,,46924,ArrivedLate,6563.0,,4436.0,2.0,11.0,10999.0,0.0,0.0,6.0,5.0,,,,,,,,
363671,TaskType.SUPERVISED_CLASSIFICATION,46927,Fitness_Club,Supervised Classification,active,10 times 3-fold Crossvalidation,,46927,attended,1046.0,,454.0,2.0,7.0,1500.0,20.0,20.0,3.0,4.0,,,,,,,,
363672,TaskType.SUPERVISED_REGRESSION,46928,Food_Delivery_Time,Supervised Regression,active,10 times 3-fold Crossvalidation,,46928,Time_taken(min),,,,0.0,10.0,45451.0,0.0,0.0,7.0,3.0,,,,,,,,
363673,TaskType.SUPERVISED_CLASSIFICATION,46929,GiveMeSomeCredit,Supervised Classification,active,10 times 3-fold Crossvalidation,,46929,FinancialDistressNextTwoYears,139974.0,,10026.0,2.0,11.0,150000.0,29731.0,33655.0,10.0,1.0,,,,,,,,
363674,TaskType.SUPERVISED_CLASSIFICATION,46930,hazelnut-spread-contaminant-detection,Supervised Classification,active,10 times 3-fold Crossvalidation,,46930,Contaminated,1200.0,,1200.0,2.0,31.0,2400.0,0.0,0.0,30.0,1.0,,,,,,,,
363675,TaskType.SUPERVISED_REGRESSION,46931,healthcare_insurance_expenses,Supervised Regression,active,10 times 3-fold Crossvalidation,,46931,charges,,,,0.0,7.0,1338.0,0.0,0.0,4.0,3.0,,,,,,,,
363676,TaskType.SUPERVISED_CLASSIFICATION,46932,heloc,Supervised Classification,active,10 times 3-fold Crossvalidation,,46932,RiskPerformance,5459.0,,5000.0,2.0,24.0,10459.0,0.0,0.0,23.0,1.0,,,,,,,,
363677,TaskType.SUPERVISED_CLASSIFICATION,46933,hiva_agnostic,Supervised Classification,active,10 times 3-fold Crossvalidation,,46933,CompoundActivity,3710.0,,42.0,3.0,1618.0,3845.0,0.0,0.0,0.0,1618.0,,,,,,,,
363678,TaskType.SUPERVISED_REGRESSION,46934,houses,Supervised Regression,active,10 times 3-fold Crossvalidation,,46934,LnMedianHouseValue,,,,0.0,9.0,20640.0,0.0,0.0,9.0,0.0,,,,,,,,
363679,TaskType.SUPERVISED_CLASSIFICATION,46935,HR_Analytics_Job_Change_of_Data_Scientists,Supervised Classification,active,10 times 3-fold Crossvalidation,,46935,LookingForJobChange,14381.0,,4777.0,2.0,13.0,19158.0,65.0,65.0,2.0,10.0,,,,,,,,
